Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
UFC Middleweight Title Bout,False,False, 5, Decision - Unanimous,, Israel Adesanya, Yoel Romero, Yoel Romero, Israel Adesanya,0,0,3,0,0,0,0,89,40,44,58,20,35.0,13,7,54.0,18,13,73.0,82,35,43.0,7,5,72.0,0,0,0,0,0,0,0,0,0,0,132,48,36,81,14,18.0,22,9,41.0,29,25,87.0,132,48,37.0,0,0,0,0,0,0
UFC Women's Strawweight Title Bout,False,False, 5, Decision - Split,, Weili Zhang, Joanna Jedrzejczyk, Joanna Jedrzejczyk, Weili Zhang,0,0,0,0,0,0,0,360,186,51,230,96,42.0,47,32,69.0,83,58,70.0,342,171,50.0,18,15,84.0,0,0,0,0,1,8,12,0,0,0,408,165,40,305,96,32.0,22,11,50.0,81,58,72.0,393,158,41.0,15,7,47.0,0,0,0
Lightweight Bout,False,False, 2, KO/TKO, Punch to Head At Distance, Beneil Dariush, Drakkar Klose, Drakkar Klose, Beneil Dariush,0,0,0,0,0,0,0,25,15,60,22,12,55.0,0,0,0,3,3,100.0,22,13,60.0,3,2,67.0,0,0,0,1,1,3,33,2,1,0,20,12,60,16,8,50.0,3,3,100.0,1,1,100.0,20,12,60.0,0,0,0,0,0,0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Neil Magny, Jingliang Li, Jingliang Li, Neil Magny,0,2,3,66,0,0,0,62,16,25,50,11,22.0,3,1,34.0,9,4,45.0,53,13,25.0,9,3,34.0,0,0,0,0,4,7,57,0,2,0,139,74,53,118,56,48.0,15,12,80.0,6,6,100.0,96,34,36.0,20,18,90.0,23,22,96.0
Welterweight Bout,False,False, 3, Decision - Split,, Alex Oliveira, Max Griffin, Max Griffin, Alex Oliveira,0,2,3,66,0,2,1,50,23,46,40,17,43.0,8,4,50.0,2,2,100.0,47,20,43.0,3,3,100.0,0,0,0,0,1,5,20,0,2,0,77,40,51,56,21,38.0,13,11,85.0,8,8,100.0,67,35,53.0,8,3,38.0,2,2,100.0
Bantamweight Bout,False,False, 1, KO/TKO, Punches to Head On Ground, Sean O'Malley, Jose Quinonez, Jose Quinonez, Sean O'Malley,0,0,0,0,0,0,0,11,0,0,7,0,0.0,1,0,0.0,3,0,0.0,11,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,18,81,11,9,82.0,7,6,86.0,4,3,75.0,17,13,77.0,0,0,0,5,5,100.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Mark Madsen, Austin Hubbard, Austin Hubbard, Mark Madsen,0,0,0,0,0,0,0,75,41,54,48,25,53.0,14,8,58.0,13,8,62.0,67,37,56.0,8,4,50.0,0,0,0,0,8,12,66,0,3,0,58,15,25,57,14,25.0,0,0,0,1,1,100.0,42,5,12.0,5,3,60.0,11,7,64.0
Middleweight Bout,False,False, 1, Submission, Arm Triangle From Mount, Rodolfo Vieira, Saparbeg Safarov, Saparbeg Safarov, Rodolfo Vieira,0,0,0,0,0,0,0,10,5,50,7,2,29.0,1,1,100.0,2,2,100.0,10,5,50.0,0,0,0,0,0,0,0,2,2,100,1,2,0,10,5,50,10,5,50.0,0,0,0,0,0,0,3,0,0.0,0,0,0,7,5,72.0
Middleweight Bout,False,False, 3, Submission, Rear Naked Choke, Gerald Meerschaert, Deron Winn, Deron Winn, Gerald Meerschaert,0,1,2,50,0,0,0,111,53,47,93,37,40.0,13,11,85.0,5,5,100.0,103,47,46.0,8,6,75.0,0,0,0,1,1,1,100,1,1,0,187,86,45,166,66,40.0,21,20,96.0,0,0,0,177,81,46.0,10,5,50.0,0,0,0
Featherweight Bout,False,False, 3, Decision - Split,, Giga Chikadze, Jamall Emmers, Jamall Emmers, Giga Chikadze,0,2,6,33,0,1,0,127,54,42,94,32,35.0,23,15,66.0,10,7,70.0,118,48,41.0,5,3,60.0,4,3,75.0,0,0,0,0,0,0,1,122,38,31,88,19,22.0,23,10,44.0,11,9,82.0,120,37,31.0,1,0,0.0,1,1,100.0
Bantamweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Danaa Batgerel, Guido Cannetti, Guido Cannetti, Danaa Batgerel,0,0,0,0,0,0,0,23,11,47,7,0,0.0,6,3,50.0,10,8,80.0,21,9,43.0,2,2,100.0,0,0,0,1,0,0,0,0,0,0,33,17,51,29,16,56.0,2,0,0.0,2,1,50.0,27,12,45.0,1,0,0.0,5,5,100.0
